epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1375.43,1.22643,0.99353,1.22802,0.89196,0.85779,0.90227,0.60172,1.12945,0.88795,1.09117,0.000742625,0.000742625,0.000742625
43,1407.06,1.22221,0.94971,1.23504,0.89649,0.84605,0.89241,0.59573,1.13065,0.90438,1.09101,0.00073025,0.00073025,0.00073025
44,1439.14,1.20531,0.94217,1.22119,0.88499,0.85224,0.9003,0.59998,1.11363,0.87949,1.10743,0.000717875,0.000717875,0.000717875
45,1470.91,1.19051,1.00823,1.24535,0.90517,0.84439,0.89378,0.61475,1.07555,0.87916,1.08158,0.0007055,0.0007055,0.0007055
46,1502.93,1.16251,0.94541,1.18876,0.92351,0.84889,0.92398,0.62808,1.09962,0.86578,1.07341,0.000693125,0.000693125,0.000693125
47,1534.81,1.17951,0.96596,1.19921,0.93529,0.84145,0.91979,0.62174,1.07315,0.83978,1.06538,0.00068075,0.00068075,0.00068075
48,1566.67,1.17685,0.92785,1.18815,0.92602,0.84089,0.91872,0.6193,1.08315,0.83254,1.06945,0.000668375,0.000668375,0.000668375
49,1598.88,1.18502,0.93045,1.17774,0.91234,0.87381,0.92387,0.62643,1.07608,0.83257,1.06807,0.000656,0.000656,0.000656
50,1630.51,1.14718,0.93432,1.19173,0.92472,0.86076,0.9155,0.62029,1.0778,0.81789,1.06352,0.000643625,0.000643625,0.000643625
51,1662.53,1.15695,0.91536,1.17572,0.95354,0.80439,0.90083,0.61607,1.10017,0.85475,1.06985,0.00063125,0.00063125,0.00063125
52,1694.01,1.17683,0.98328,1.21237,0.92714,0.82262,0.91929,0.6292,1.073,0.84487,1.05639,0.000618875,0.000618875,0.000618875
53,1725.96,1.11247,0.85914,1.1666,0.89944,0.86082,0.91873,0.64361,1.04853,0.85701,1.04369,0.0006065,0.0006065,0.0006065
54,1757.83,1.09131,0.87176,1.1519,0.95366,0.81541,0.92616,0.64506,1.0592,0.81119,1.05631,0.000594125,0.000594125,0.000594125
55,1790.08,1.14363,0.88445,1.18088,0.93097,0.83513,0.92014,0.63939,1.05814,0.80305,1.06202,0.00058175,0.00058175,0.00058175
56,1821.86,1.13613,0.88427,1.18381,0.89632,0.85728,0.91996,0.62105,1.09186,0.81624,1.07475,0.000569375,0.000569375,0.000569375
57,1853.13,1.16655,0.87385,1.18247,0.91949,0.84255,0.92586,0.63715,1.0652,0.79094,1.06616,0.000557,0.000557,0.000557
58,1885.06,1.07548,0.79802,1.12826,0.94189,0.85117,0.93103,0.6416,1.05173,0.7574,1.04167,0.000544625,0.000544625,0.000544625
59,1916.36,1.10304,0.821,1.14948,0.93643,0.85341,0.93269,0.64114,1.05725,0.74481,1.03737,0.00053225,0.00053225,0.00053225
60,1948.01,1.08164,0.78126,1.15069,0.92651,0.86471,0.939,0.66831,0.98955,0.71685,1.01553,0.000519875,0.000519875,0.000519875
61,1980.35,1.09209,0.83291,1.16079,0.92584,0.87338,0.93463,0.66142,1.00751,0.72682,1.02245,0.0005075,0.0005075,0.0005075
62,2012.39,1.04562,0.81844,1.12316,0.90451,0.88519,0.93156,0.66735,0.97447,0.71823,1.01088,0.000495125,0.000495125,0.000495125
63,2044.05,1.09644,0.84645,1.15015,0.9157,0.87984,0.92461,0.67529,0.94971,0.71764,1.00589,0.00048275,0.00048275,0.00048275
64,2075.84,1.1198,0.85605,1.17996,0.8968,0.90223,0.9318,0.66685,0.97014,0.7247,1.01498,0.000470375,0.000470375,0.000470375
65,2107.88,1.06986,0.81921,1.13104,0.90634,0.87686,0.94493,0.67331,0.95458,0.73129,1.01355,0.000458,0.000458,0.000458
66,2139.2,1.05177,0.81368,1.14446,0.94256,0.87465,0.94243,0.67484,0.96855,0.70598,1.01948,0.000445625,0.000445625,0.000445625
67,2170.78,1.01566,0.78087,1.11355,0.91573,0.89875,0.94168,0.67233,0.93923,0.70398,1.01525,0.00043325,0.00043325,0.00043325
68,2202.53,0.99826,0.78436,1.14439,0.93411,0.87502,0.94812,0.66415,0.95092,0.70627,1.01756,0.000420875,0.000420875,0.000420875
69,2234.17,1.02099,0.79957,1.12556,0.9243,0.88255,0.94164,0.66278,0.96298,0.70909,1.02162,0.0004085,0.0004085,0.0004085
70,2265.55,1.00065,0.77992,1.12822,0.94679,0.85244,0.94493,0.66473,0.94588,0.69145,1.01521,0.000396125,0.000396125,0.000396125
71,2297.41,1.01158,0.75224,1.11492,0.88905,0.91476,0.94722,0.68593,0.91104,0.67,0.99694,0.00038375,0.00038375,0.00038375
72,2329.16,0.99284,0.72412,1.10614,0.88991,0.9153,0.94973,0.69629,0.89619,0.65466,0.9962,0.000371375,0.000371375,0.000371375
73,2361.1,0.99761,0.74535,1.09746,0.95209,0.85998,0.95345,0.70063,0.88422,0.64603,0.99101,0.000359,0.000359,0.000359
74,2392.64,1.0191,0.76232,1.11931,0.90048,0.90756,0.95616,0.70335,0.88176,0.64456,0.98635,0.000346625,0.000346625,0.000346625
75,2423.78,0.96458,0.71316,1.09451,0.94924,0.87601,0.95398,0.70755,0.88706,0.64887,0.98612,0.00033425,0.00033425,0.00033425
76,2455.41,0.96056,0.72231,1.08788,0.93611,0.87893,0.95246,0.71368,0.83439,0.62152,0.97008,0.000321875,0.000321875,0.000321875
77,2487.16,0.99794,0.73528,1.11061,0.91076,0.89752,0.95123,0.71315,0.82342,0.61995,0.96871,0.0003095,0.0003095,0.0003095
78,2519.32,0.93105,0.69408,1.08281,0.89779,0.90479,0.95442,0.7164,0.83892,0.6273,0.97667,0.000297125,0.000297125,0.000297125
79,2550.87,0.9727,0.71085,1.08892,0.90128,0.91498,0.95472,0.71572,0.84504,0.62701,0.97847,0.00028475,0.00028475,0.00028475
80,2583.03,0.9617,0.74106,1.09512,0.9168,0.90264,0.95654,0.71683,0.84659,0.61339,0.9787,0.000272375,0.000272375,0.000272375
81,2615.49,0.9973,0.72324,1.10951,0.92256,0.8922,0.95738,0.719,0.83404,0.61722,0.97555,0.00026,0.00026,0.00026
82,2647.52,0.97998,0.71767,1.08821,0.92669,0.90171,0.95729,0.7225,0.8147,0.60432,0.9682,0.000247625,0.000247625,0.000247625
83,2679.55,0.94153,0.70935,1.09471,0.92694,0.88965,0.95727,0.72651,0.82167,0.60625,0.96591,0.00023525,0.00023525,0.00023525
84,2711.46,0.93112,0.72058,1.11199,0.90028,0.90519,0.95903,0.71946,0.85901,0.61516,0.96997,0.000222875,0.000222875,0.000222875
85,2743.19,0.92044,0.69658,1.07328,0.90743,0.904,0.95937,0.72314,0.83985,0.60731,0.96681,0.0002105,0.0002105,0.0002105
86,2775.22,0.97695,0.71562,1.09702,0.92166,0.90637,0.96374,0.72739,0.80487,0.59786,0.96165,0.000198125,0.000198125,0.000198125
87,2807.16,0.90232,0.71111,1.06327,0.91365,0.91701,0.96238,0.7298,0.80002,0.59831,0.95813,0.00018575,0.00018575,0.00018575
88,2839.16,0.89862,0.67678,1.07207,0.92784,0.90566,0.96146,0.73135,0.80398,0.58866,0.9553,0.000173375,0.000173375,0.000173375
89,2870.94,0.91868,0.67768,1.06554,0.92208,0.91396,0.9622,0.72979,0.79643,0.57993,0.95277,0.000161,0.000161,0.000161
90,2903.06,0.90808,0.67862,1.07154,0.92524,0.90593,0.96451,0.73542,0.78141,0.57258,0.94914,0.000148625,0.000148625,0.000148625
91,2934.46,0.8813,0.75694,1.05511,0.909,0.91274,0.9644,0.73352,0.78048,0.57378,0.94933,0.00013625,0.00013625,0.00013625
92,2965.94,0.82007,0.69839,1.02306,0.95361,0.87327,0.96402,0.7286,0.80465,0.58692,0.95558,0.000123875,0.000123875,0.000123875
93,2997.83,0.79284,0.62514,1.02393,0.94929,0.87722,0.96331,0.72892,0.79753,0.59159,0.95258,0.0001115,0.0001115,0.0001115
94,3029.53,0.83929,0.64855,1.02686,0.90972,0.90847,0.96497,0.73637,0.77179,0.59488,0.94148,9.9125e-05,9.9125e-05,9.9125e-05
95,3061.5,0.82716,0.64457,1.03476,0.95035,0.87957,0.96553,0.7461,0.76952,0.5982,0.93836,8.675e-05,8.675e-05,8.675e-05
96,3092.91,0.78833,0.61851,1.02269,0.95351,0.87796,0.96551,0.74327,0.75795,0.5927,0.936,7.4375e-05,7.4375e-05,7.4375e-05
97,3124.68,0.80445,0.62577,1.01056,0.95755,0.87238,0.96501,0.74471,0.75392,0.58805,0.93472,6.2e-05,6.2e-05,6.2e-05
98,3156.34,0.76442,0.60505,0.99709,0.94842,0.88553,0.96638,0.74579,0.75371,0.58055,0.93447,4.9625e-05,4.9625e-05,4.9625e-05
99,3188.16,0.76405,0.6176,1.00369,0.88852,0.93536,0.96565,0.74667,0.75152,0.57775,0.93392,3.725e-05,3.725e-05,3.725e-05
100,3219.63,0.76356,0.62204,0.99026,0.94991,0.88823,0.96658,0.74904,0.7462,0.57369,0.93166,2.4875e-05,2.4875e-05,2.4875e-05
